"","x"
"intrcpt",-8.13054302573387
"inveGFR",126.364051526027
"DiabetesYes",1.53584968235985
"lnUACR",1.01193977385163
"inveGFR:lnUACR",-19.3777129887288
"DiabetesYes:lnUACR",-0.184123893596951
