"","intrcpt","inveGFR","DiabetesYes","lnUACR","inveGFR:lnUACR"
"intrcpt",0.472453394315892,-15.9887868111116,0.000150276245304991,-0.0966591625288665,3.24469755772684
"inveGFR",-15.9887868111116,599.063614108576,-0.0459096187982539,3.24987731706228,-120.484856916974
"DiabetesYes",0.000150276245304991,-0.0459096187982539,0.00933990708097496,-0.0012537407050851,0.0079378383266377
"lnUACR",-0.0966591625288665,3.24987731706228,-0.0012537407050851,0.0209304389667281,-0.691691179356011
"inveGFR:lnUACR",3.24469755772684,-120.484856916974,0.0079378383266377,-0.691691179356011,25.3835677727143
