State,FirstYear,Age,Stage,Diabetes,N,Mean,SD
hf,first,ge 65,g3b,no baseline t2d,2051,62789.47,86910.91
hf,first,ge 65,g4,no baseline t2d,873,64910.48,82151.42
hf,first,ge 65,g3a,baseline t2d,1748,67467.02,81433.27
hf,first,ge 65,g3b,baseline t2d,1763,63695.76,85338.46
hf,first,ge 65,g4,baseline t2d,981,73261.24,99558.05
hf,subsequent,lt 65,g3a,no baseline t2d,166,27829.17,51739.17
hf,subsequent,lt 65,g3b,no baseline t2d,98,21878.02,30166.85
hf,subsequent,lt 65,g4,no baseline t2d,73,77895.62,117557.87
hf,subsequent,lt 65,g3a,baseline t2d,208,32593.6,60650.64
hf,subsequent,lt 65,g3b,baseline t2d,207,44374.3,68604.12
hf,subsequent,lt 65,g4,baseline t2d,151,90004.12,183491.54
hf,subsequent,ge 65,g3a,no baseline t2d,1494,24118.78,44560.9
hf,subsequent,ge 65,g3b,no baseline t2d,1327,26371.86,51017.77
hf,subsequent,ge 65,g4,no baseline t2d,580,34961.86,71466.37
hf,subsequent,ge 65,g3a,baseline t2d,1174,29765.43,52174.16
hf,subsequent,ge 65,g3b,baseline t2d,1199,28723.07,52529.48
hf,subsequent,ge 65,g4,baseline t2d,665,39510.35,76188.8
